sketcher,refiner,load\_dir,raw\_f1,raw\_num,fine\_f1,fine\_num,grammar\_f1,grammar\_num,grammar\_fine\_f1,grammar\_fine\_num,backup\_f1,backup\_num,random\_f1,random\_num
gpt-3.5-turbo,llama-2-7b,outputs/outputs_1,0.5046417427369808,203,0.0,1,0.27463445645263823,22,0.24175824175824176,24,0.6407407407407407,60,0.3411806288189963,203
gpt-3.5-turbo,llama-2-7b,outputs/outputs_2,0.4751465881431131,203,0.3333333333333333,2,0.3040771864301276,28,0.20804195804195805,24,0.5516406890894175,53,0.3045103495902487,203
gpt-3.5-turbo,llama-2-7b,outputs/outputs_3,0.5062378858708192,203,1.0,2,0.28701298701298705,28,0.24819624819624816,27,0.5332423104638374,54,0.38527334734231283,203
gpt-4o,llama-2-7b,outputs/outputs_1,0.6824674334343538,203,0.0,2,0.2714285714285714,12,0.35263157894736835,15,0.7453654188948305,24,0.3332160629354988,203
gpt-4o,llama-2-7b,outputs/outputs_2,0.66715936722718,203,0.5,2,0.23076923076923078,13,0.46978557504873286,18,0.7903597377281587,24,0.30465466974967326,203
gpt-4o,llama-2-7b,outputs/outputs_3,0.6683102741178966,203,0.0,1,0.48556998556998554,12,0.5892857142857142,15,0.8415268941584729,26,0.3308256236570331,203
gpt-3.5-turbo,llama-2-13b,outputs/outputs_1,0.5012071672170195,203,0.4,4,0.37575757575757573,20,0.22373737373737376,24,0.6032786885245901,61,0.2958547112629569,203
gpt-3.5-turbo,llama-2-13b,outputs/outputs_2,0.4815419750591839,203,0.5555555555555555,6,0.36765649809128065,23,0.21279761904761904,28,0.5515731292517007,56,0.3373511611541168,203
gpt-3.5-turbo,llama-2-13b,outputs/outputs_3,0.5056926588970323,203,0.4583333333333333,4,0.2376068376068376,26,0.24783892051444228,30,0.5339181286549708,60,0.27211790902799005,203
gpt-4o,llama-2-13b,outputs/outputs_1,0.6824674334343538,203,0.3333333333333333,3,0.24489795918367346,14,0.17777777777777778,12,0.7453654188948305,24,0.32064084661831066,203
gpt-4o,llama-2-13b,outputs/outputs_2,0.67388964377684,203,,0,0.43235294117647055,17,0.3627450980392157,15,0.7607503607503608,25,0.32377410734408707,203
gpt-4o,llama-2-13b,outputs/outputs_3,0.6712423114057622,203,,0,0.4603550295857988,13,0.6142575373344604,13,0.8513753327417923,28,0.39398702009539444,203
gpt-3.5-turbo,llama-3-8b,outputs/outputs_1,0.4901640231689493,203,0.7333333333333334,4,0.3940372670807453,23,0.37189980158730157,16,0.6054501726456125,61,0.35024595530440694,203
gpt-3.5-turbo,llama-3-8b,outputs/outputs_2,0.48232625297474124,203,0.75,4,0.3346778711484594,25,0.5067340067340068,12,0.5516406890894175,53,0.250909888659435,203
gpt-3.5-turbo,llama-3-8b,outputs/outputs_3,0.5208241184637468,203,0.0,2,0.29805422647527907,30,0.24900793650793648,16,0.5416373445930096,58,0.3482705651782404,203
gpt-4o,llama-3-8b,outputs/outputs_1,0.6867540119496074,203,,0,0.236734693877551,14,0.2,10,0.7701268982733513,23,0.3604179190976442,203
gpt-4o,llama-3-8b,outputs/outputs_2,0.680049068807851,203,1.0,1,0.20098039215686272,17,0.3230769230769231,13,0.7916876152170271,24,0.3136343059345821,203
gpt-4o,llama-3-8b,outputs/outputs_3,0.6712423114057622,203,,0,0.45129870129870125,16,0.5468319559228649,11,0.8513753327417923,28,0.38456475428367637,203
