strategy,refiner,GCD,f1
Chain-of-Thought,GPT-4o,False,0.716094898101639
LogicLM,GPT-4o,False,0.7138415892672859
GGLLM,GPT-4o,False,0.7528349649906714
GGLLM,Llama 2 7b,False,0.7339425002185829
GGLLM,Llama 2 7b,True,0.7251715952571747
GGLLM,Llama 2 7b (fine-tuned),False,0.7377554007578723
GGLLM,Llama 2 7b (fine-tuned),True,0.7329618241832542
GGLLM,Llama 2 13b,False,0.7388452124639112
GGLLM,Llama 2 13b,True,0.7312675800003566
GGLLM,Llama 2 13b (fine-tuned),False,0.7424249774768636
GGLLM,Llama 2 13b (fine-tuned),True,0.7316138582637904
GGLLM,Llama 3 8b,False,0.7428280938333668
GGLLM,Llama 3 8b,True,0.7123252637168971
GGLLM,Llama 3 8b (fine-tuned),False,0.7408111509570978
GGLLM,Llama 3 8b (fine-tuned),True,0.7306824636881148
