strategy,refiner,GCD,f1
GGLLM,Llama 3 8b (fine-tuned),False,0.49454120103970717
GGLLM,Llama 3 8b (fine-tuned),True,0.4778813670510114
GGLLM,Llama 3 8b,False,0.503081046283489
GGLLM,Llama 3 8b,True,0.47112282393862054
GGLLM,Llama 2 7b (fine-tuned),False,0.4962031519715438
GGLLM,Llama 2 7b (fine-tuned),True,0.4775897051627647
GGLLM,Llama 2 7b,False,0.503081046283489
GGLLM,Llama 2 7b,True,0.4758763001241837
GGLLM,Llama 2 13b (fine-tuned),False,0.4923890732401454
GGLLM,Llama 2 13b (fine-tuned),True,0.47713554687554244
GGLLM,Llama 2 13b,False,0.503081046283489
GGLLM,Llama 2 13b,True,0.4759471245514089
GGLLM,GPT-4o,False,0.503081046283489
Chain-of-Thought,GPT-4o,False,0.7263026921355337
LogicLM,GPT-4o,False,0.7263026921355337
