LogicNLI,LogicNLI,LogicNLI,FOLIO,FOLIO,FOLIO,LogicNLI,LogicNLI,LogicNLI
Sketcher,Strategy,Refiner,F1,F1 (with backup),Executable Samples (%),F1,F1 (with backup),Executable Samples (%)
GPT-3.5-Turbo,Chain-of-Thought,GPT-3.5-Turbo,$0.52^{\pm 0.0}$,,,$0.36^{\pm 0.0}$,,
GPT-3.5-Turbo,LogicLM,GPT-3.5-Turbo,$0.49^{\pm 0.03}$,$0.62^{\pm 0.01}$,$62.74999999999999^{\pm0}\%$,$0.0^{\pm nan}$,$0.36^{\pm nan}$,$0.4^{\pm}\%$
GPT-3.5-Turbo,GCLLM,Llama 2 7b,$0.5^{\pm 0.02}$,$0.62^{\pm 0.03}$,$72.58^{\pm1}\%$,$0.21^{\pm 0.0}$,$0.26^{\pm 0.01}$,$84.89^{\pm0}\%$
GPT-3.5-Turbo,GCLLM,Llama 2 7b $\bigstar$,$0.5^{\pm 0.01}$,$0.58^{\pm 0.04}$,$83.58^{\pm2}\%$,$0.21^{\pm 0.0}$,$0.24^{\pm 0.0}$,$92.71000000000001^{\pm0}\%$
GPT-3.5-Turbo,GCLLM,Llama 2 7b $\blacklozenge$,$0.5^{\pm 0.01}$,$0.62^{\pm 0.02}$,$71.43^{\pm2}\%$,$0.22^{\pm 0.0}$,$0.26^{\pm 0.01}$,$88.89^{\pm0}\%$
GPT-3.5-Turbo,GCLLM,Llama 2 7b $\blacklozenge$ $\bigstar$,$0.5^{\pm 0.02}$,$0.58^{\pm 0.04}$,$83.25^{\pm2}\%$,$0.22^{\pm 0.0}$,$0.24^{\pm 0.0}$,$92.69^{\pm0}\%$
GPT-3.5-Turbo,GCLLM,Llama 2 13b,$0.5^{\pm 0.01}$,$0.62^{\pm 0.02}$,$70.94^{\pm1}\%$,$0.21^{\pm 0.0}$,$0.26^{\pm 0.01}$,$84.89^{\pm0}\%$
GPT-3.5-Turbo,GCLLM,Llama 2 13b $\bigstar$,$0.51^{\pm 0.01}$,$0.6^{\pm 0.03}$,$81.28^{\pm2}\%$,$0.22^{\pm 0.0}$,$0.24^{\pm 0.0}$,$92.73^{\pm0}\%$
GPT-3.5-Turbo,GCLLM,Llama 2 13b $\blacklozenge$,$0.5^{\pm 0.01}$,$0.63^{\pm 0.03}$,$71.92^{\pm1}\%$,$0.22^{\pm 0.0}$,$0.26^{\pm 0.01}$,$88.42^{\pm0}\%$
GPT-3.5-Turbo,GCLLM,Llama 2 13b $\blacklozenge$ $\bigstar$,$0.5^{\pm 0.02}$,$0.58^{\pm 0.03}$,$83.58^{\pm2}\%$,$0.22^{\pm 0.0}$,$0.24^{\pm 0.0}$,$92.67^{\pm0}\%$
GPT-3.5-Turbo,GCLLM,Llama 3 8b,$0.5^{\pm 0.02}$,$0.62^{\pm 0.02}$,$71.76^{\pm1}\%$,$0.21^{\pm 0.0}$,$0.26^{\pm 0.01}$,$84.96000000000001^{\pm0}\%$
GPT-3.5-Turbo,GCLLM,Llama 3 8b $\bigstar$,$0.51^{\pm 0.01}$,$0.59^{\pm 0.04}$,$83.42^{\pm2}\%$,$0.22^{\pm 0.0}$,$0.24^{\pm 0.0}$,$92.78^{\pm0}\%$
GPT-3.5-Turbo,GCLLM,Llama 3 8b $\blacklozenge$,$0.5^{\pm 0.01}$,$0.61^{\pm 0.02}$,$71.76^{\pm1}\%$,$0.22^{\pm 0.0}$,$0.26^{\pm 0.01}$,$88.53^{\pm0}\%$
GPT-3.5-Turbo,GCLLM,Llama 3 8b $\blacklozenge$ $\bigstar$,$0.5^{\pm 0.01}$,$0.61^{\pm 0.01}$,$76.85^{\pm0}\%$,$0.22^{\pm 0.0}$,$0.24^{\pm 0.0}$,$92.75999999999999^{\pm0}\%$
GPT-4o,Chain-of-Thought,GPT-4o,$0.71^{\pm 0.0}$,,,$0.73^{\pm 0.0}$,,
GPT-4o,LogicLM,GPT-4o,$0.06^{\pm nan}$,$0.71^{\pm nan}$,$3.4299999999999997^{\pm}\%$,,,
GPT-4o,GCLLM,Llama 2 7b,$0.67^{\pm 0.01}$,$0.73^{\pm 0.01}$,$87.85^{\pm0}\%$,$0.46^{\pm 0.0}$,$0.5^{\pm 0.0}$,$92.46^{\pm0}\%$
GPT-4o,GCLLM,Llama 2 7b $\bigstar$,$0.68^{\pm 0.01}$,$0.73^{\pm 0.02}$,$91.95^{\pm1}\%$,$0.47^{\pm 0.0}$,$0.48^{\pm 0.0}$,$99.0^{\pm0}\%$
GPT-4o,GCLLM,Llama 2 7b $\blacklozenge$,$0.67^{\pm 0.01}$,$0.74^{\pm 0.0}$,$87.85^{\pm0}\%$,$0.46^{\pm 0.0}$,$0.5^{\pm 0.0}$,$93.55^{\pm0}\%$
GPT-4o,GCLLM,Llama 2 7b $\blacklozenge$ $\bigstar$,$0.69^{\pm 0.0}$,$0.73^{\pm 0.0}$,$93.92^{\pm0}\%$,$0.47^{\pm 0.0}$,$0.48^{\pm 0.0}$,$99.0^{\pm0}\%$
GPT-4o,GCLLM,Llama 2 13b,$0.68^{\pm 0.01}$,$0.74^{\pm 0.01}$,$87.36^{\pm1}\%$,$0.46^{\pm 0.0}$,$0.5^{\pm 0.0}$,$92.46^{\pm0}\%$
GPT-4o,GCLLM,Llama 2 13b $\bigstar$,$0.68^{\pm 0.0}$,$0.73^{\pm 0.01}$,$92.78^{\pm1}\%$,$0.47^{\pm 0.0}$,$0.48^{\pm 0.0}$,$99.0^{\pm0}\%$
GPT-4o,GCLLM,Llama 2 13b $\blacklozenge$,$0.68^{\pm 0.01}$,$0.74^{\pm 0.01}$,$87.19^{\pm0}\%$,$0.46^{\pm 0.0}$,$0.49^{\pm 0.0}$,$94.42^{\pm0}\%$
GPT-4o,GCLLM,Llama 2 13b $\blacklozenge$ $\bigstar$,$0.68^{\pm 0.01}$,$0.73^{\pm 0.01}$,$92.28^{\pm1}\%$,$0.47^{\pm 0.0}$,$0.48^{\pm 0.0}$,$99.0^{\pm0}\%$
GPT-4o,GCLLM,Llama 3 8b,$0.68^{\pm 0.01}$,$0.74^{\pm 0.01}$,$87.68^{\pm1}\%$,$0.46^{\pm 0.0}$,$0.5^{\pm 0.0}$,$92.46^{\pm0}\%$
GPT-4o,GCLLM,Llama 3 8b $\bigstar$,$0.67^{\pm 0.01}$,$0.71^{\pm 0.02}$,$93.27^{\pm0}\%$,$0.47^{\pm 0.0}$,$0.47^{\pm 0.0}$,$99.0^{\pm0}\%$
GPT-4o,GCLLM,Llama 3 8b $\blacklozenge$,$0.67^{\pm 0.01}$,$0.74^{\pm 0.01}$,$87.36^{\pm1}\%$,$0.46^{\pm 0.0}$,$0.49^{\pm 0.0}$,$94.13^{\pm0}\%$
GPT-4o,GCLLM,Llama 3 8b $\blacklozenge$ $\bigstar$,$0.67^{\pm 0.01}$,$0.73^{\pm 0.01}$,$91.3^{\pm1}\%$,$0.47^{\pm 0.0}$,$0.48^{\pm 0.0}$,$99.0^{\pm0}\%$
