sketcher,refiner,load\_dir,raw\_f1,raw\_num,fine\_f1,fine\_num,grammar\_f1,grammar\_num,grammar\_fine\_f1,grammar\_fine\_num,backup\_f1,backup\_num,random\_f1,random\_num,manual\_f1,manual\_num
gpt-3.5-turbo,llama-2-7b,outputs/outputs_1,0.6482922482922483,203,0.0,1,0.27463445645263823,22,0.24175824175824176,24,0.5516062884483937,22,0.33926273119336847,203,0.62,15
gpt-3.5-turbo,llama-2-7b,outputs/outputs_2,0.5860574759631284,203,0.3333333333333333,2,0.24294871794871797,24,0.20804195804195805,24,0.6404991948470209,24,0.37430190733262325,203,0.48697368421052634,20
gpt-3.5-turbo,llama-2-7b,outputs/outputs_3,0.6109713713042723,203,1.0,2,0.2934782608695652,24,0.24819624819624816,27,0.525,24,0.34897151250512093,203,0.5244490358126721,22
gpt-4o,llama-2-7b,outputs/outputs_1,0.7356681002078421,203,0.0,2,0.3001443001443001,11,0.35263157894736835,15,0.6147186147186147,11,0.3397837303666881,203,0.4761904761904762,7
gpt-4o,llama-2-7b,outputs/outputs_2,0.7264211869602193,203,0.5,2,0.12587412587412586,11,0.46978557504873286,18,0.7123966942148761,11,0.3494796171426379,203,0.2888888888888889,6
gpt-4o,llama-2-7b,outputs/outputs_3,0.7397382134876872,203,0.0,1,0.48556998556998554,12,0.5892857142857142,15,0.7329365079365079,12,0.3209969220678926,203,0.5555555555555555,6
gpt-3.5-turbo,llama-2-13b,outputs/outputs_1,0.6384373194586408,203,0.4,4,0.39120528594212806,19,0.22373737373737376,24,0.34210526315789475,19,0.2999851997131609,203,0.6490196078431372,15
gpt-3.5-turbo,llama-2-13b,outputs/outputs_2,0.5974755364000073,203,0.5555555555555555,6,0.38995867768595044,22,0.21279761904761904,28,0.5259740259740261,22,0.358658338698322,203,0.5323809523809524,20
gpt-3.5-turbo,llama-2-13b,outputs/outputs_3,0.622999654825687,203,0.4583333333333333,4,0.27893719806763284,23,0.24783892051444228,30,0.36613272311212813,23,0.31056678694955603,203,0.5658119658119658,20
gpt-4o,llama-2-13b,outputs/outputs_1,0.7356681002078421,203,0.3333333333333333,3,0.24489795918367346,14,0.17777777777777778,12,0.5215419501133787,14,0.42902005994481324,203,0.40888888888888886,10
gpt-4o,llama-2-13b,outputs/outputs_2,0.7309211690109224,203,,0,0.3822222222222222,15,0.3627450980392157,15,0.6013186813186813,15,0.291187983446607,203,0.27654320987654324,9
gpt-4o,llama-2-13b,outputs/outputs_3,0.7499463681729691,203,,0,0.4603550295857988,13,0.6142575373344604,13,0.7516483516483518,13,0.36419107785256777,203,0.2857142857142857,7
gpt-3.5-turbo,llama-3-8b,outputs/outputs_1,0.629092560127043,203,0.7333333333333334,4,0.36,22,0.37189980158730157,16,0.5241892610313662,22,0.2812087447517824,203,0.6028708133971292,17
gpt-3.5-turbo,llama-3-8b,outputs/outputs_2,0.5912098763083985,203,0.75,4,0.3262598645373765,22,0.5067340067340068,12,0.6590179873602333,22,0.27129825939769264,203,0.5026455026455027,18
gpt-3.5-turbo,llama-3-8b,outputs/outputs_3,0.6323374166319711,203,0.0,2,0.35116216111691223,26,0.24900793650793648,16,0.5228192859771806,26,0.29215781140042224,203,0.4279529993815707,21
gpt-4o,llama-3-8b,outputs/outputs_1,0.7413768613146052,203,,0,0.236734693877551,14,0.2,10,0.7786499215070644,14,0.3202843133877617,203,0.38359788359788355,9
gpt-4o,llama-3-8b,outputs/outputs_2,0.7371610520125259,203,1.0,1,0.10416666666666666,16,0.3230769230769231,13,0.8175505050505051,16,0.2962445055729917,203,0.2232142857142857,8
gpt-4o,llama-3-8b,outputs/outputs_3,0.7499463681729691,203,,0,0.47926739926739936,15,0.5468319559228649,11,0.8641269841269842,15,0.3014485572265537,203,0.42857142857142855,7
