sketcher,refiner,load\_dir,raw\_f1,raw\_num,fine\_f1,fine\_num,grammar\_f1,grammar\_num,grammar\_fine\_f1,grammar\_fine\_num,backup\_f1,backup\_num,random\_f1,random\_num,manual\_f1,manual\_num
gpt-3.5-turbo,llama-2-7b,outputs/outputs_1,0.2693330341087028,1500,0.23335138387033055,61,0.11643521200830742,124,0.11517715494447382,122,0.30343690677727464,124,0.33544892310894725,1500,0.18311597841004235,118
gpt-3.5-turbo,llama-2-7b,outputs/outputs_2,0.2560342075511914,1500,0.2536510617005973,57,0.12698412698412698,112,0.17104437331324923,113,0.2836530063235859,112,0.3299901242045616,1500,0.1698701298701299,110
gpt-3.5-turbo,llama-2-7b,outputs/outputs_3,0.2609695707520043,1500,0.2507002801120448,68,0.16489789464172763,119,0.16319069563309194,120,0.28312606627449843,119,0.32730515006446526,1500,0.22186516082210933,116
gpt-4o,llama-2-7b,outputs/outputs_1,0.5031145684794421,1499,0.1,16,0.3017668672045747,97,0.3345972392102044,97,0.7206146516713527,97,0.3321749503149061,1499,0.17777777777777776,60
gpt-4o,llama-2-7b,outputs/outputs_2,0.5031145684794421,1499,0.1,16,0.284681102720744,97,0.3345972392102044,97,0.7206146516713527,97,0.3028135935686197,1499,0.17777777777777776,60
gpt-4o,llama-2-7b,outputs/outputs_3,0.5030140018915831,1500,0.0896358543417367,17,0.2928208728208728,100,0.3144769711163154,100,0.7192279411764706,100,0.34024234447486706,1500,0.17204301075268816,62
gpt-3.5-turbo,llama-2-13b,outputs/outputs_1,0.26841340803331615,1500,0.2522067747986318,53,0.11350844277673545,123,0.11027848101265823,125,0.30985015130537213,123,0.3169911126443579,1500,0.17704036019869301,121
gpt-3.5-turbo,llama-2-13b,outputs/outputs_2,0.2560342075511914,1500,0.22201328083681027,52,0.14454877824245774,114,0.1453234265734266,112,0.27443789070377095,114,0.3393596742488449,1500,0.1714161904408162,109
gpt-3.5-turbo,llama-2-13b,outputs/outputs_3,0.26096303793672215,1500,0.17559413211587124,63,0.16031962082090298,121,0.16724639955364926,121,0.28461053775367123,121,0.3389541516738243,1500,0.22656329899919642,117
gpt-4o,llama-2-13b,outputs/outputs_1,0.5031145684794421,1499,0.11929170549860206,29,0.266856487568765,97,0.31871352823445,97,0.7206146516713527,97,0.3453720669841314,1499,0.17777777777777776,60
gpt-4o,llama-2-13b,outputs/outputs_2,0.5031145684794421,1499,0.11929170549860206,29,0.2848779480071172,97,0.31871352823445,97,0.7206146516713527,97,0.3328246421012784,1499,0.17777777777777776,60
gpt-4o,llama-2-13b,outputs/outputs_3,0.5030140018915831,1500,0.11228070175438595,30,0.32372727272727275,100,0.315,100,0.7192279411764706,100,0.33981332465850284,1500,0.17204301075268816,62
gpt-3.5-turbo,llama-3-8b,outputs/outputs_1,0.2707234133639423,1500,0.2600071122618591,64,0.18284199437775875,124,0.14251382438190582,122,0.30596050454921425,124,0.3124552285282638,1500,0.1814053093355036,118
gpt-3.5-turbo,llama-3-8b,outputs/outputs_2,0.2573371055767478,1500,0.22266666666666668,50,0.13831041806393918,112,0.13618829548033087,113,0.26501937984496127,112,0.31793764563225646,1500,0.16986792888873672,110
gpt-3.5-turbo,llama-3-8b,outputs/outputs_3,0.2634951794560044,1500,0.20137847742795267,58,0.17522216946842956,121,0.17188480990582491,122,0.3188079138492361,121,0.3531689903684246,1500,0.22362978115462046,118
gpt-4o,llama-3-8b,outputs/outputs_1,0.5031145684794421,1499,0.13172043010752688,24,0.16366978342523775,97,0.3356798156907942,97,0.7206146516713527,97,0.3462582579934225,1499,0.17777777777777776,60
gpt-4o,llama-3-8b,outputs/outputs_2,0.5031145684794421,1499,0.13172043010752688,24,0.18496058217101274,97,0.3356798156907942,97,0.7206146516713527,97,0.32492373232659644,1499,0.17777777777777776,60
gpt-4o,llama-3-8b,outputs/outputs_3,0.5030140018915831,1500,0.13544973544973546,27,0.1637593984962406,100,0.3375045948958993,100,0.7192279411764706,100,0.33529409448837144,1500,0.17204301075268816,62
