sketcher,refiner,load_dir,gcd,finetune,baseline,use_backup,precision,recall,f1,executable_precision,executable_recall,executable_f1,executable_rate,parsing_errors_rate,execution_errors_rate
gpt-3.5-turbo,llama-2-7b,outputs/outputs_1,True,False,False,True,0.49091979618374715,0.36,0.242104154034781,0.6142602543821086,0.3556515478761699,0.22115161154440482,0.926,0.022,0.052
gpt-3.5-turbo,llama-2-7b,outputs/outputs_2,True,False,False,True,0.48048007008215243,0.358,0.2360919077475289,0.6179201047244011,0.35729690869877784,0.2208026087364673,0.9273333333333333,0.028666666666666667,0.044
gpt-3.5-turbo,llama-2-7b,outputs/outputs_3,True,False,False,True,0.4744131001356435,0.3606666666666667,0.24382298418070622,0.5902714548624564,0.3563218390804598,0.22106773334091853,0.928,0.022,0.05
gpt-3.5-turbo,llama-2-7b,outputs/outputs_1,True,False,False,False,0.6140494473211799,0.3293333333333333,0.2143525456826317,0.6142602543821086,0.3556515478761699,0.22115161154440482,0.926,0.022,0.052
gpt-3.5-turbo,llama-2-7b,outputs/outputs_2,True,False,False,False,0.6187289359653346,0.3313333333333333,0.21359795258100345,0.6179201047244011,0.35729690869877784,0.2208026087364673,0.9273333333333333,0.028666666666666667,0.044
gpt-3.5-turbo,llama-2-7b,outputs/outputs_3,True,False,False,False,0.5920577219651906,0.33066666666666666,0.21326034678306308,0.5902714548624564,0.3563218390804598,0.22106773334091853,0.928,0.022,0.05
gpt-4o,llama-2-7b,outputs/outputs_1,True,False,False,False,0.6307470775284545,0.49099399599733157,0.47080205579962514,0.6307450884526565,0.49595687331536387,0.4733708194376368,0.989993328885924,0.0,0.01000667111407605
gpt-4o,llama-2-7b,outputs/outputs_2,True,False,False,False,0.6301960130456238,0.4903268845897265,0.47008705204914597,0.6301940202564534,0.49528301886792453,0.4726525850572718,0.989993328885924,0.0,0.01000667111407605
gpt-4o,llama-2-7b,outputs/outputs_3,True,False,False,False,0.63078158498129,0.48933333333333334,0.46924498559199423,0.6307815849812899,0.49427609427609426,0.4718076876253719,0.99,0.0,0.01
gpt-3.5-turbo,llama-2-7b,outputs/outputs_1,True,True,False,True,0.4935160252880528,0.36133333333333334,0.24449847504777336,0.6365972729024852,0.35853131749460043,0.22419581015594,0.926,0.016666666666666666,0.05733333333333333
gpt-3.5-turbo,llama-2-7b,outputs/outputs_2,True,True,False,True,0.4913883036480849,0.3606666666666667,0.24199961589180338,0.6227939382041718,0.3597122302158273,0.22551467756469737,0.9266666666666666,0.016,0.05733333333333333
gpt-3.5-turbo,llama-2-7b,outputs/outputs_3,True,True,False,True,0.48123173013227394,0.362,0.24628538670961878,0.5895438863821045,0.3563218390804598,0.22182222193490178,0.928,0.015333333333333332,0.056666666666666664
gpt-3.5-turbo,llama-2-7b,outputs/outputs_1,True,True,False,False,0.6370218570902888,0.332,0.21673815153859494,0.6365972729024852,0.35853131749460043,0.22419581015594,0.926,0.016666666666666666,0.05733333333333333
gpt-3.5-turbo,llama-2-7b,outputs/outputs_2,True,True,False,False,0.6243802389869805,0.3333333333333333,0.21761205256837945,0.6227939382041718,0.3597122302158273,0.22551467756469737,0.9266666666666666,0.016,0.05733333333333333
gpt-3.5-turbo,llama-2-7b,outputs/outputs_3,True,True,False,False,0.5911859617565456,0.33066666666666666,0.21420838371454684,0.5895438863821045,0.3563218390804598,0.22182222193490178,0.928,0.015333333333333332,0.056666666666666664
gpt-4o,llama-2-7b,outputs/outputs_1,True,True,False,False,0.634361214259797,0.4923282188125417,0.4723674837856748,0.6343592029753857,0.4973045822102426,0.47494638990584226,0.989993328885924,0.0,0.01000667111407605
gpt-4o,llama-2-7b,outputs/outputs_2,True,True,False,False,0.634361214259797,0.4923282188125417,0.4723674837856748,0.6343592029753857,0.4973045822102426,0.47494638990584226,0.989993328885924,0.0,0.01000667111407605
gpt-4o,llama-2-7b,outputs/outputs_3,True,True,False,False,0.6342028866851562,0.49066666666666664,0.4705517601626871,0.6342028866851562,0.49562289562289563,0.47312297838613626,0.99,0.0,0.01
gpt-3.5-turbo,llama-2-13b,outputs/outputs_1,True,False,False,True,0.488985088985089,0.36,0.2430441057001767,0.6401127292056017,0.3570914326853852,0.22361764522528124,0.926,0.017333333333333333,0.056666666666666664
gpt-3.5-turbo,llama-2-13b,outputs/outputs_2,True,False,False,True,0.48770821467049086,0.35933333333333334,0.23952985702211588,0.6191557509103987,0.3586800573888092,0.22376673568278466,0.9293333333333333,0.015333333333333332,0.05533333333333333
gpt-3.5-turbo,llama-2-13b,outputs/outputs_3,True,False,False,True,0.47685990440552534,0.3606666666666667,0.24381635758807624,0.5862564405802126,0.35611510791366907,0.2209601909544973,0.9266666666666666,0.016,0.05733333333333333
gpt-3.5-turbo,llama-2-13b,outputs/outputs_1,True,False,False,False,0.6392606892606892,0.33066666666666666,0.21690827305949745,0.6401127292056017,0.3570914326853852,0.22361764522528124,0.926,0.017333333333333333,0.056666666666666664
gpt-3.5-turbo,llama-2-13b,outputs/outputs_2,True,False,False,False,0.6205589698565994,0.3333333333333333,0.21632313704858894,0.6191557509103987,0.3586800573888092,0.22376673568278466,0.9293333333333333,0.015333333333333332,0.05533333333333333
gpt-3.5-turbo,llama-2-13b,outputs/outputs_3,True,False,False,False,0.5875940502913244,0.33,0.21311931602174256,0.5862564405802126,0.35611510791366907,0.2209601909544973,0.9266666666666666,0.016,0.05733333333333333
gpt-4o,llama-2-13b,outputs/outputs_1,True,False,False,False,0.6318024620177193,0.4896597731821214,0.46945440788256343,0.6318004334910422,0.4946091644204852,0.47201916909217434,0.989993328885924,0.0,0.01000667111407605
gpt-4o,llama-2-13b,outputs/outputs_2,True,False,False,False,0.6319971041118435,0.4903268845897265,0.47011583193903805,0.6319950768967708,0.49528301886792453,0.472682594424308,0.989993328885924,0.0,0.01000667111407605
gpt-4o,llama-2-13b,outputs/outputs_3,True,False,False,False,0.6340632916717102,0.49066666666666664,0.47076805304165614,0.6340632916717102,0.49562289562289563,0.4733397849676919,0.99,0.0,0.01
gpt-3.5-turbo,llama-2-13b,outputs/outputs_1,True,True,False,True,0.4914825788777078,0.3606666666666667,0.24423164138069486,0.6201806690760705,0.35729690869877784,0.2240787811869515,0.9273333333333333,0.016666666666666666,0.056
gpt-3.5-turbo,llama-2-13b,outputs/outputs_2,True,True,False,True,0.4863956023503762,0.35933333333333334,0.23868778784873992,0.6239953303090142,0.35827338129496406,0.2224024741768916,0.9266666666666666,0.018,0.05533333333333333
gpt-3.5-turbo,llama-2-13b,outputs/outputs_3,True,True,False,True,0.4744131001356435,0.3606666666666667,0.24382298418070622,0.5905148128690246,0.3563714902807775,0.22117550637898495,0.926,0.017333333333333333,0.056666666666666664
