sketcher,refiner,load_dir,gcd,finetune,baseline,use_backup,f1,executable_f1,backup_f1_executable,backup_f1_non_executable,executable_rate
gpt-3.5-turbo,llama-2-7b,outputs/outputs_1,True,False,False,True,0.6189529562111563,0.5786031462420405,0.4806943406893679,0.6989372634533926,0.8078817733990148
gpt-3.5-turbo,llama-2-7b,outputs/outputs_2,True,False,False,True,0.5304390306205188,0.5376894235275739,0.5442292453853147,0.3763174603174603,0.8522167487684729
gpt-3.5-turbo,llama-2-7b,outputs/outputs_3,True,False,False,True,0.5770212336692293,0.5641564403006758,0.5223990208078335,0.49085650723025587,0.8472906403940886
gpt-3.5-turbo,llama-2-7b,outputs/outputs_1,True,False,False,False,0.5073066927393178,0.5786031462420405,0.4806943406893679,0.6989372634533926,0.8078817733990148
gpt-3.5-turbo,llama-2-7b,outputs/outputs_2,True,False,False,False,0.49313700940788346,0.5376894235275739,0.5442292453853147,0.3763174603174603,0.8522167487684729
gpt-3.5-turbo,llama-2-7b,outputs/outputs_3,True,False,False,False,0.5115600220107379,0.5641564403006758,0.5223990208078335,0.49085650723025587,0.8472906403940886
gpt-4o,llama-2-7b,outputs/outputs_1,True,False,False,True,0.7210757928551813,0.7084319327981857,0.7043141205443221,0.8666666666666667,0.9261083743842364
gpt-4o,llama-2-7b,outputs/outputs_2,True,False,False,True,0.7109244481187185,0.6967387680206732,0.7039216505632984,0.8678062678062678,0.9261083743842364
gpt-4o,llama-2-7b,outputs/outputs_3,True,False,False,True,0.7435145447976241,0.7203058017450626,0.6924545663676098,0.9464687359424202,0.9064039408866995
gpt-4o,llama-2-7b,outputs/outputs_1,True,False,False,False,0.6806831057073159,0.7084319327981857,0.7043141205443221,0.8666666666666667,0.9261083743842364
gpt-4o,llama-2-7b,outputs/outputs_2,True,False,False,False,0.668424906823536,0.6967387680206732,0.7039216505632984,0.8678062678062678,0.9261083743842364
gpt-4o,llama-2-7b,outputs/outputs_3,True,False,False,False,0.6826914945985737,0.7203058017450626,0.6924545663676098,0.9464687359424202,0.9064039408866995
gpt-3.5-turbo,llama-2-7b,outputs/outputs_1,True,True,False,True,0.6188910329894829,0.5773464001380891,0.4863839737567412,0.6769230769230768,0.8078817733990148
gpt-3.5-turbo,llama-2-7b,outputs/outputs_2,True,True,False,True,0.5440534428576759,0.5255235533699691,0.5257391138753219,0.4903846153846154,0.8423645320197044
gpt-3.5-turbo,llama-2-7b,outputs/outputs_3,True,True,False,True,0.5691730519997271,0.5542057695225298,0.5244309747649679,0.4805339265850946,0.8472906403940886
gpt-3.5-turbo,llama-2-7b,outputs/outputs_1,True,True,False,False,0.5066424489271725,0.5773464001380891,0.4863839737567412,0.6769230769230768,0.8078817733990148
