sketcher,refiner,load_dir,gcd,finetune,baseline,use_backup,f1,executable_f1,backup_f1_executable,backup_f1_non_executable,executable_rate
gpt-3.5-turbo,llama-2-7b,outputs/outputs_1,True,False,False,True,0.242104154034781,0.22115161154440482,0.35743398900886586,0.36045466058763925,0.926
gpt-3.5-turbo,llama-2-7b,outputs/outputs_2,True,False,False,True,0.2360919077475289,0.2208026087364673,0.36240646723540204,0.29490509490509487,0.9273333333333333
gpt-3.5-turbo,llama-2-7b,outputs/outputs_3,True,False,False,True,0.24382298418070622,0.22106773334091853,0.35908137752107155,0.3404393307391544,0.928
gpt-3.5-turbo,llama-2-7b,outputs/outputs_1,True,False,False,False,0.2143525456826317,0.22115161154440482,0.35743398900886586,0.36045466058763925,0.926
gpt-3.5-turbo,llama-2-7b,outputs/outputs_2,True,False,False,False,0.21359795258100345,0.2208026087364673,0.36240646723540204,0.29490509490509487,0.9273333333333333
gpt-3.5-turbo,llama-2-7b,outputs/outputs_3,True,False,False,False,0.21326034678306308,0.22106773334091853,0.35908137752107155,0.3404393307391544,0.928
gpt-4o,llama-2-7b,outputs/outputs_1,True,False,False,True,0.47663357101836545,0.4733708194376368,0.7260999862456617,0.7388888888888888,0.989993328885924
gpt-4o,llama-2-7b,outputs/outputs_2,True,False,False,True,0.4759225988261615,0.4726525850572718,0.7260999862456617,0.7388888888888888,0.989993328885924
gpt-4o,llama-2-7b,outputs/outputs_3,True,False,False,True,0.4750727305280241,0.4718076876253719,0.7262800343702728,0.7388888888888888,0.99
gpt-4o,llama-2-7b,outputs/outputs_1,True,False,False,False,0.47080205579962514,0.4733708194376368,0.7260999862456617,0.7388888888888888,0.989993328885924
gpt-4o,llama-2-7b,outputs/outputs_2,True,False,False,False,0.47008705204914597,0.4726525850572718,0.7260999862456617,0.7388888888888888,0.989993328885924
gpt-4o,llama-2-7b,outputs/outputs_3,True,False,False,False,0.46924498559199423,0.4718076876253719,0.7262800343702728,0.7388888888888888,0.99
gpt-3.5-turbo,llama-2-7b,outputs/outputs_1,True,True,False,True,0.24449847504777336,0.22419581015594,0.3588407767129854,0.343841185263634,0.926
gpt-3.5-turbo,llama-2-7b,outputs/outputs_2,True,True,False,True,0.24199961589180338,0.22551467756469737,0.36183420204702793,0.3032062961838243,0.9266666666666666
gpt-3.5-turbo,llama-2-7b,outputs/outputs_3,True,True,False,True,0.24628538670961878,0.22182222193490178,0.3581365843690614,0.35316927699564404,0.928
