sketcher,refiner,load_dir,gcd,finetune,baseline,use_backup,f1,executable_f1,backup_f1_executable,backup_f1_non_executable,executable_rate
gpt-3.5-turbo,llama-2-7b,outputs/outputs_1,True,False,False,True,0.2283537474198032,0.20813510220618628,0.3243558722447839,0.34397936210131336,0.9252830188679245
gpt-3.5-turbo,llama-2-7b,outputs/outputs_2,True,False,False,True,0.22089486040200584,0.20742424208317262,0.32966235427947804,0.2736717188540973,0.9283018867924528
gpt-3.5-turbo,llama-2-7b,outputs/outputs_3,True,False,False,True,0.22839886080866895,0.2093507066854442,0.32713076513233597,0.30783410138248846,0.929811320754717
gpt-3.5-turbo,llama-2-7b,outputs/outputs_1,True,False,False,False,0.20146960190334226,0.20813510220618628,0.3243558722447839,0.34397936210131336,0.9252830188679245
gpt-3.5-turbo,llama-2-7b,outputs/outputs_2,True,False,False,False,0.20088351956555145,0.20742424208317262,0.32966235427947804,0.2736717188540973,0.9283018867924528
gpt-3.5-turbo,llama-2-7b,outputs/outputs_3,True,False,False,False,0.20195450358347436,0.2093507066854442,0.32713076513233597,0.30783410138248846,0.929811320754717
gpt-4o,llama-2-7b,outputs/outputs_1,True,False,False,True,0.549219116237808,0.546403922496748,0.7510199992225218,0.7388888888888888,0.9886706948640483
gpt-4o,llama-2-7b,outputs/outputs_2,True,False,False,True,0.5483274601851722,0.5455005808794398,0.7510199992225218,0.7388888888888888,0.9886706948640483
gpt-4o,llama-2-7b,outputs/outputs_3,True,False,False,True,0.5460660686991011,0.5432225770238132,0.7511975989049319,0.7388888888888888,0.9886792452830189
gpt-4o,llama-2-7b,outputs/outputs_1,True,False,False,False,0.5428352666725003,0.546403922496748,0.7510199992225218,0.7388888888888888,0.9886706948640483
gpt-4o,llama-2-7b,outputs/outputs_2,True,False,False,False,0.5419370796846905,0.5455005808794398,0.7510199992225218,0.7388888888888888,0.9886706948640483
gpt-4o,llama-2-7b,outputs/outputs_3,True,False,False,False,0.5396780833976095,0.5432225770238132,0.7511975989049319,0.7388888888888888,0.9886792452830189
gpt-3.5-turbo,llama-2-7b,outputs/outputs_1,True,True,False,True,0.2296909258662415,0.2113159180936831,0.3265390579868365,0.31718310928837246,0.9267924528301886
gpt-3.5-turbo,llama-2-7b,outputs/outputs_2,True,True,False,True,0.22795652720332893,0.21288079754891392,0.3288386377862945,0.2847587719298246,0.9283018867924528
gpt-3.5-turbo,llama-2-7b,outputs/outputs_3,True,True,False,True,0.22989836588586024,0.20998574540088052,0.3265118381073503,0.31610146126275157,0.930566037735849
gpt-3.5-turbo,llama-2-7b,outputs/outputs_1,True,True,False,False,0.20397179272084884,0.2113159180936831,0.3265390579868365,0.31718310928837246,0.9267924528301886
gpt-3.5-turbo,llama-2-7b,outputs/outputs_2,True,True,False,False,0.20572930844450268,0.21288079754891392,0.3288386377862945,0.2847587719298246,0.9283018867924528
gpt-3.5-turbo,llama-2-7b,outputs/outputs_3,True,True,False,False,0.20297366435714936,0.20998574540088052,0.3265118381073503,0.31610146126275157,0.930566037735849
gpt-4o,llama-2-7b,outputs/outputs_1,True,True,False,True,0.5511313264062447,0.5483396603213618,0.7510199992225218,0.7388888888888888,0.9886706948640483
gpt-4o,llama-2-7b,outputs/outputs_2,True,True,False,True,0.5511313264062447,0.5483396603213618,0.7510199992225218,0.7388888888888888,0.9886706948640483
gpt-4o,llama-2-7b,outputs/outputs_3,True,True,False,True,0.5471022675960209,0.544271065407511,0.7511975989049319,0.7388888888888888,0.9886792452830189
gpt-4o,llama-2-7b,outputs/outputs_1,True,True,False,False,0.5447569282755351,0.5483396603213618,0.7510199992225218,0.7388888888888888,0.9886706948640483
gpt-4o,llama-2-7b,outputs/outputs_2,True,True,False,False,0.5447569282755351,0.5483396603213618,0.7510199992225218,0.7388888888888888,0.9886706948640483
gpt-4o,llama-2-7b,outputs/outputs_3,True,True,False,False,0.5407174389252138,0.544271065407511,0.7511975989049319,0.7388888888888888,0.9886792452830189
gpt-3.5-turbo,llama-2-7b,outputs/outputs_1,False,False,False,True,0.25349159886364503,0.22297480614298365,0.32894561025455504,0.30879118199266214,0.8437735849056603
gpt-3.5-turbo,llama-2-7b,outputs/outputs_2,False,False,False,True,0.24064552981621457,0.21745911046093405,0.33517976414732825,0.2699765478424015,0.850566037735849
gpt-3.5-turbo,llama-2-7b,outputs/outputs_3,False,False,False,True,0.2446020591314634,0.2153041917847402,0.33161641353433297,0.2931561319611197,0.8467924528301887
gpt-3.5-turbo,llama-2-7b,outputs/outputs_1,False,False,False,False,0.204314975921121,0.22297480614298365,0.32894561025455504,0.30879118199266214,0.8437735849056603
gpt-3.5-turbo,llama-2-7b,outputs/outputs_2,False,False,False,False,0.20095445093921194,0.21745911046093405,0.33517976414732825,0.2699765478424015,0.850566037735849
gpt-3.5-turbo,llama-2-7b,outputs/outputs_3,False,False,False,False,0.19880826188398312,0.2153041917847402,0.33161641353433297,0.2931561319611197,0.8467924528301887
gpt-4o,llama-2-7b,outputs/outputs_1,False,False,False,True,0.5781375385150551,0.560689726721767,0.7508739160248602,0.7490392648287385,0.918429003021148
gpt-4o,llama-2-7b,outputs/outputs_2,False,False,False,True,0.5781375385150551,0.560689726721767,0.7508739160248602,0.7490392648287385,0.918429003021148
gpt-4o,llama-2-7b,outputs/outputs_3,False,False,False,True,0.5758312634542143,0.5582378270993592,0.7513667215756444,0.7448028131822597,0.9169811320754717
gpt-4o,llama-2-7b,outputs/outputs_1,False,False,False,False,0.5339870763664154,0.560689726721767,0.7508739160248602,0.7490392648287385,0.918429003021148
gpt-4o,llama-2-7b,outputs/outputs_2,False,False,False,False,0.5339870763664154,0.560689726721767,0.7508739160248602,0.7490392648287385,0.918429003021148
gpt-4o,llama-2-7b,outputs/outputs_3,False,False,False,False,0.5310711658910352,0.5582378270993592,0.7513667215756444,0.7448028131822597,0.9169811320754717
gpt-3.5-turbo,llama-2-7b,outputs/outputs_1,False,True,False,True,0.2473855380495691,0.2209568021467232,0.3261491469295078,0.32236288189728796,0.8807547169811321
gpt-3.5-turbo,llama-2-7b,outputs/outputs_2,False,True,False,True,0.23869922166834626,0.21613801576130162,0.3302858945366157,0.2886272342357458,0.8875471698113208
gpt-3.5-turbo,llama-2-7b,outputs/outputs_3,False,True,False,True,0.2391628659859344,0.21665107815691545,0.3285152126023016,0.30296944174495194,0.8905660377358491
gpt-3.5-turbo,llama-2-7b,outputs/outputs_1,False,True,False,False,0.20747798027999428,0.2209568021467232,0.3261491469295078,0.32236288189728796,0.8807547169811321
gpt-3.5-turbo,llama-2-7b,outputs/outputs_2,False,True,False,False,0.20381738827311763,0.21613801576130162,0.3302858945366157,0.2886272342357458,0.8875471698113208
