strategy,refiner,GCD,f1
GGLLM,Llama 3 8b (fine-tuned),False,0.25583324564458665
GGLLM,Llama 3 8b (fine-tuned),True,0.24307115454033604
GGLLM,Llama 3 8b,False,0.2638518994655648
GGLLM,Llama 3 8b,True,0.2435803162867475
GGLLM,Llama 2 7b (fine-tuned),False,0.25708869405481266
GGLLM,Llama 2 7b (fine-tuned),True,0.24426115921639843
GGLLM,Llama 2 7b,False,0.26211227080396615
GGLLM,Llama 2 7b,True,0.24067301532100535
GGLLM,Llama 2 13b (fine-tuned),False,0.2554726385461085
GGLLM,Llama 2 13b (fine-tuned),True,0.24224747113671363
GGLLM,Llama 2 13b,False,0.26180355117374315
GGLLM,Llama 2 13b,True,0.24213010677012292
GGLLM,GPT-3.5-Turbo,False,0.25130742798434796
LogicLM,GPT-3.5-Turbo,False,0.355825956635964
