strategy,refiner,GCD,f1
GGLLM,Llama 3 8b (fine-tuned),False,0.46257194035938215
GGLLM,Llama 3 8b (fine-tuned),True,0.47206685470712256
GGLLM,Llama 3 8b,False,0.46230041337573463
GGLLM,Llama 3 8b,True,0.46523823577538276
GGLLM,Llama 2 7b (fine-tuned),False,0.46210564414315664
GGLLM,Llama 2 7b (fine-tuned),True,0.4717622425780122
GGLLM,Llama 2 7b,False,0.46230041337573463
GGLLM,Llama 2 7b,True,0.4700446978135884
GGLLM,Llama 2 13b (fine-tuned),False,0.46233558643834877
GGLLM,Llama 2 13b (fine-tuned),True,0.47130494156632047
GGLLM,Llama 2 13b,False,0.46230041337573463
GGLLM,Llama 2 13b,True,0.4701127642877525
Chain-of-Thought,GPT-4o,False,0.7263026921355337
GGLLM,GPT-4o,False,0.46230041337573463
LogicLM,GPT-4o,False,0

