LogicNLI,LogicNLI,LogicNLI,FOLIO,FOLIO,FOLIO,FOLIO,LogicNLI,LogicNLI,LogicNLI,LogicNLI
Sketcher,Strategy,Refiner,Weighted F1 (all samples),Weighted F1 (executable samples),Executable Samples (\%),"Weighted F1 (all samples, with backup)",Weighted F1 (all samples),Weighted F1 (executable samples),Executable Samples (\%),"Weighted F1 (all samples, with backup)"
GPT-3.5-Turbo,CoT,GPT-3.5-Turbo,$0.52^{\pm 0.0}$,$nan^{\pm nan}$,,,$0.36^{\pm 0.0}$,$nan^{\pm nan}$,,
GPT-3.5-Turbo,GCLLM,GPT-3.5-Turbo,$0.5^{\pm 0.01}$,$0.59^{\pm 0.02}$,$74.22^{\pm1}\%$,$0.6^{\pm 0.03}$,$0.21^{\pm 0.0}$,$0.22^{\pm 0.0}$,$89.62^{\pm0}\%$,$0.25^{\pm 0.01}$
GPT-3.5-Turbo,GCLLM,Llama 2 13b,$0.5^{\pm 0.01}$,$0.61^{\pm 0.02}$,$70.94^{\pm1}\%$,$0.62^{\pm 0.02}$,$0.21^{\pm 0.0}$,$0.23^{\pm 0.0}$,$84.89^{\pm0}\%$,$0.26^{\pm 0.01}$
GPT-3.5-Turbo,GCLLM,Llama 2 13b $\bigstar$,$0.51^{\pm 0.01}$,$0.57^{\pm 0.02}$,$81.28^{\pm2}\%$,$0.6^{\pm 0.03}$,$0.22^{\pm 0.0}$,$0.22^{\pm 0.0}$,$92.73^{\pm0}\%$,$0.24^{\pm 0.0}$
GPT-3.5-Turbo,GCLLM,Llama 2 13b $\blacklozenge$,$0.5^{\pm 0.01}$,$0.61^{\pm 0.02}$,$71.92^{\pm1}\%$,$0.63^{\pm 0.03}$,$0.22^{\pm 0.0}$,$0.23^{\pm 0.01}$,$88.42^{\pm0}\%$,$0.26^{\pm 0.01}$
GPT-3.5-Turbo,GCLLM,Llama 2 13b $\blacklozenge$ $\bigstar$,$0.5^{\pm 0.02}$,$0.55^{\pm 0.03}$,$83.58^{\pm2}\%$,$0.58^{\pm 0.03}$,$0.22^{\pm 0.0}$,$0.22^{\pm 0.0}$,$92.67^{\pm0}\%$,$0.24^{\pm 0.0}$
GPT-3.5-Turbo,GCLLM,Llama 2 7b,$0.5^{\pm 0.02}$,$0.6^{\pm 0.03}$,$72.58^{\pm1}\%$,$0.62^{\pm 0.03}$,$0.21^{\pm 0.0}$,$0.23^{\pm 0.0}$,$84.89^{\pm0}\%$,$0.26^{\pm 0.01}$
GPT-3.5-Turbo,GCLLM,Llama 2 7b $\bigstar$,$0.5^{\pm 0.01}$,$0.56^{\pm 0.02}$,$83.58^{\pm2}\%$,$0.58^{\pm 0.04}$,$0.21^{\pm 0.0}$,$0.22^{\pm 0.0}$,$92.71000000000001^{\pm0}\%$,$0.24^{\pm 0.0}$
GPT-3.5-Turbo,GCLLM,Llama 2 7b $\blacklozenge$,$0.5^{\pm 0.01}$,$0.61^{\pm 0.02}$,$71.43^{\pm2}\%$,$0.62^{\pm 0.02}$,$0.22^{\pm 0.0}$,$0.23^{\pm 0.0}$,$88.89^{\pm0}\%$,$0.26^{\pm 0.01}$
GPT-3.5-Turbo,GCLLM,Llama 2 7b $\blacklozenge$ $\bigstar$,$0.5^{\pm 0.02}$,$0.55^{\pm 0.03}$,$83.25^{\pm2}\%$,$0.58^{\pm 0.04}$,$0.22^{\pm 0.0}$,$0.22^{\pm 0.0}$,$92.69^{\pm0}\%$,$0.24^{\pm 0.0}$
GPT-3.5-Turbo,GCLLM,Llama 3 8b,$0.5^{\pm 0.02}$,$0.61^{\pm 0.03}$,$71.76^{\pm1}\%$,$0.62^{\pm 0.02}$,$0.21^{\pm 0.0}$,$0.23^{\pm 0.0}$,$84.96000000000001^{\pm0}\%$,$0.26^{\pm 0.01}$
GPT-3.5-Turbo,GCLLM,Llama 3 8b $\bigstar$,$0.51^{\pm 0.01}$,$0.57^{\pm 0.02}$,$83.42^{\pm2}\%$,$0.59^{\pm 0.04}$,$0.22^{\pm 0.0}$,$0.22^{\pm 0.0}$,$92.78^{\pm0}\%$,$0.24^{\pm 0.0}$
GPT-3.5-Turbo,GCLLM,Llama 3 8b $\blacklozenge$,$0.5^{\pm 0.01}$,$0.61^{\pm 0.02}$,$71.76^{\pm1}\%$,$0.61^{\pm 0.02}$,$0.22^{\pm 0.0}$,$0.23^{\pm 0.0}$,$88.53^{\pm0}\%$,$0.26^{\pm 0.01}$
