FOLIO,FOLIO,FOLIO,FOLIO,FOLIO,FOLIO,FOLIO
Sketcher,Strategy,Refiner,"Weighted F1
(all samples)","Weighted F1
(all samples, with backup)","Weighted F1
(executable samples)","Executable
Samples (\%)"
GPT-3.5-Turbo,CoT,GPT-3.5-Turbo,$0.52^{\pm 0.0}$,,$nan^{\pm nan}$,
GPT-3.5-Turbo,GCLLM,GPT-3.5-Turbo,$0.5^{\pm 0.01}$,$0.6^{\pm 0.03}$,$0.59^{\pm 0.02}$,$74.22^{\pm1}\%$
GPT-3.5-Turbo,LogicLM,GPT-3.5-Turbo,$0.49^{\pm 0.03}$,$0.62^{\pm 0.01}$,$0.63^{\pm 0.03}$,$62.74999999999999^{\pm0}\%$
GPT-3.5-Turbo,GCLLM,Llama 2 13b,$0.5^{\pm 0.01}$,$0.62^{\pm 0.02}$,$0.61^{\pm 0.02}$,$70.94^{\pm1}\%$
GPT-3.5-Turbo,GCLLM,Llama 2 13b $\blacklozenge$,$0.5^{\pm 0.01}$,$0.63^{\pm 0.03}$,$0.61^{\pm 0.02}$,$71.92^{\pm1}\%$
GPT-3.5-Turbo,GCLLM,Llama 2 13b $\bigstar$,$0.51^{\pm 0.01}$,$0.6^{\pm 0.03}$,$0.57^{\pm 0.02}$,$81.28^{\pm2}\%$
GPT-3.5-Turbo,GCLLM,Llama 2 13b $\blacklozenge$ $\bigstar$,$0.5^{\pm 0.02}$,$0.58^{\pm 0.03}$,$0.55^{\pm 0.03}$,$83.58^{\pm2}\%$
GPT-3.5-Turbo,GCLLM,Llama 2 7b,$0.5^{\pm 0.02}$,$0.62^{\pm 0.03}$,$0.6^{\pm 0.03}$,$72.58^{\pm1}\%$
GPT-3.5-Turbo,GCLLM,Llama 2 7b $\blacklozenge$,$0.5^{\pm 0.01}$,$0.62^{\pm 0.02}$,$0.61^{\pm 0.02}$,$71.43^{\pm2}\%$
GPT-3.5-Turbo,GCLLM,Llama 2 7b $\bigstar$,$0.5^{\pm 0.01}$,$0.58^{\pm 0.04}$,$0.56^{\pm 0.02}$,$83.58^{\pm2}\%$
GPT-3.5-Turbo,GCLLM,Llama 2 7b $\blacklozenge$ $\bigstar$,$0.5^{\pm 0.02}$,$0.58^{\pm 0.04}$,$0.55^{\pm 0.03}$,$83.25^{\pm2}\%$
GPT-3.5-Turbo,GCLLM,Llama 3 8b,$0.5^{\pm 0.02}$,$0.62^{\pm 0.02}$,$0.61^{\pm 0.03}$,$71.76^{\pm1}\%$
GPT-3.5-Turbo,GCLLM,Llama 3 8b $\blacklozenge$,$0.5^{\pm 0.01}$,$0.61^{\pm 0.02}$,$0.61^{\pm 0.02}$,$71.76^{\pm1}\%$
GPT-3.5-Turbo,GCLLM,Llama 3 8b $\bigstar$,$0.51^{\pm 0.01}$,$0.59^{\pm 0.04}$,$0.57^{\pm 0.02}$,$83.42^{\pm2}\%$
GPT-3.5-Turbo,GCLLM,Llama 3 8b $\blacklozenge$ $\bigstar$,$0.5^{\pm 0.01}$,$0.61^{\pm 0.01}$,$0.59^{\pm 0.01}$,$76.85^{\pm0}\%$
GPT-3.5-Turbo,GCLLM,Mistral 7b,$0.49^{\pm 0.02}$,$0.61^{\pm 0.03}$,$0.6^{\pm 0.03}$,$71.43^{\pm1}\%$
GPT-3.5-Turbo,GCLLM,Mistral 7b $\bigstar$,$0.5^{\pm 0.0}$,$0.59^{\pm 0.02}$,$0.56^{\pm 0.01}$,$81.61^{\pm1}\%$
GPT-4o,CoT,GPT-4o,$0.71^{\pm 0.0}$,,$nan^{\pm nan}$,
GPT-4o,GCLLM,GPT-4o,$0.67^{\pm 0.01}$,$0.75^{\pm 0.01}$,$0.73^{\pm 0.0}$,$85.55^{\pm0}\%$
GPT-4o,LogicLM,GPT-4o,$0.06^{\pm nan}$,$0.71^{\pm nan}$,$0.84^{\pm nan}$,$3.4299999999999997^{\pm}\%$
GPT-4o,GCLLM,Llama 2 13b,$0.68^{\pm 0.01}$,$0.74^{\pm 0.01}$,$0.73^{\pm 0.0}$,$87.36^{\pm1}\%$
GPT-4o,GCLLM,Llama 2 13b $\blacklozenge$,$0.68^{\pm 0.01}$,$0.74^{\pm 0.01}$,$0.73^{\pm 0.0}$,$87.19^{\pm0}\%$
GPT-4o,GCLLM,Llama 2 13b $\bigstar$,$0.68^{\pm 0.0}$,$0.73^{\pm 0.01}$,$0.71^{\pm 0.01}$,$92.78^{\pm1}\%$
GPT-4o,GCLLM,Llama 2 13b $\blacklozenge$ $\bigstar$,$0.68^{\pm 0.01}$,$0.73^{\pm 0.01}$,$0.72^{\pm 0.01}$,$92.28^{\pm1}\%$
GPT-4o,GCLLM,Llama 2 7b,$0.67^{\pm 0.01}$,$0.73^{\pm 0.01}$,$0.72^{\pm 0.01}$,$87.85^{\pm0}\%$
