FOLIO,FOLIO,FOLIO,FOLIO,FOLIO,FOLIO
Sketcher,Strategy,Refiner,"Weighted F1
(executable samples)","Weighted F1 of backup
(executable samples)","Weighted F1 of backup
(non-executable samples)"
GPT-3.5-Turbo,CoT,GPT-3.5-Turbo,$nan^{\pm nan}$,$nan^{\pm nan}$,$nan^{\pm nan}$
GPT-3.5-Turbo,GCLLM,GPT-3.5-Turbo,$0.59^{\pm 0.02}$,$0.51^{\pm 0.02}$,$0.54^{\pm 0.07}$
GPT-3.5-Turbo,LogicLM,GPT-3.5-Turbo,$0.63^{\pm 0.03}$,$0.51^{\pm 0.02}$,$0.53^{\pm 0.03}$
GPT-3.5-Turbo,GCLLM,Llama 2 13b,$0.61^{\pm 0.02}$,$0.5^{\pm 0.01}$,$0.56^{\pm 0.04}$
GPT-3.5-Turbo,GCLLM,Llama 2 13b $\blacklozenge$,$0.61^{\pm 0.02}$,$0.49^{\pm 0.02}$,$0.59^{\pm 0.05}$
GPT-3.5-Turbo,GCLLM,Llama 2 13b $\bigstar$,$0.57^{\pm 0.02}$,$0.5^{\pm 0.03}$,$0.62^{\pm 0.12}$
GPT-3.5-Turbo,GCLLM,Llama 2 13b $\blacklozenge$ $\bigstar$,$0.55^{\pm 0.03}$,$0.51^{\pm 0.02}$,$0.58^{\pm 0.07}$
GPT-3.5-Turbo,GCLLM,Llama 2 7b,$0.6^{\pm 0.03}$,$0.5^{\pm 0.02}$,$0.58^{\pm 0.06}$
GPT-3.5-Turbo,GCLLM,Llama 2 7b $\blacklozenge$,$0.61^{\pm 0.02}$,$0.5^{\pm 0.02}$,$0.57^{\pm 0.04}$
GPT-3.5-Turbo,GCLLM,Llama 2 7b $\bigstar$,$0.56^{\pm 0.02}$,$0.52^{\pm 0.03}$,$0.52^{\pm 0.16}$
GPT-3.5-Turbo,GCLLM,Llama 2 7b $\blacklozenge$ $\bigstar$,$0.55^{\pm 0.03}$,$0.51^{\pm 0.02}$,$0.55^{\pm 0.11}$
GPT-3.5-Turbo,GCLLM,Llama 3 8b,$0.61^{\pm 0.03}$,$0.5^{\pm 0.01}$,$0.57^{\pm 0.03}$
GPT-3.5-Turbo,GCLLM,Llama 3 8b $\blacklozenge$,$0.61^{\pm 0.02}$,$0.51^{\pm 0.01}$,$0.54^{\pm 0.04}$
GPT-3.5-Turbo,GCLLM,Llama 3 8b $\bigstar$,$0.57^{\pm 0.02}$,$0.52^{\pm 0.02}$,$0.54^{\pm 0.11}$
GPT-3.5-Turbo,GCLLM,Llama 3 8b $\blacklozenge$ $\bigstar$,$0.59^{\pm 0.01}$,$0.51^{\pm 0.01}$,$0.56^{\pm 0.03}$
GPT-3.5-Turbo,GCLLM,Mistral 7b,$0.6^{\pm 0.03}$,$0.5^{\pm 0.02}$,$0.56^{\pm 0.05}$
GPT-3.5-Turbo,GCLLM,Mistral 7b $\bigstar$,$0.56^{\pm 0.01}$,$0.5^{\pm 0.02}$,$0.62^{\pm 0.11}$
GPT-4o,CoT,GPT-4o,$nan^{\pm nan}$,$nan^{\pm nan}$,$nan^{\pm nan}$
GPT-4o,GCLLM,GPT-4o,$0.73^{\pm 0.0}$,$0.7^{\pm 0.01}$,$0.84^{\pm 0.03}$
GPT-4o,LogicLM,GPT-4o,$0.84^{\pm nan}$,$0.87^{\pm nan}$,$0.71^{\pm nan}$
GPT-4o,GCLLM,Llama 2 13b,$0.73^{\pm 0.0}$,$0.71^{\pm 0.01}$,$0.79^{\pm 0.06}$
GPT-4o,GCLLM,Llama 2 13b $\blacklozenge$,$0.73^{\pm 0.0}$,$0.7^{\pm 0.01}$,$0.8^{\pm 0.04}$
GPT-4o,GCLLM,Llama 2 13b $\bigstar$,$0.71^{\pm 0.01}$,$0.7^{\pm 0.0}$,$0.98^{\pm 0.03}$
GPT-4o,GCLLM,Llama 2 13b $\blacklozenge$ $\bigstar$,$0.72^{\pm 0.01}$,$0.7^{\pm 0.0}$,$0.89^{\pm 0.03}$
GPT-4o,GCLLM,Llama 2 7b,$0.72^{\pm 0.01}$,$0.71^{\pm 0.01}$,$0.79^{\pm 0.05}$
GPT-4o,GCLLM,Llama 2 7b $\blacklozenge$,$0.72^{\pm 0.01}$,$0.7^{\pm 0.01}$,$0.8^{\pm 0.03}$
GPT-4o,GCLLM,Llama 2 7b $\bigstar$,$0.71^{\pm 0.01}$,$0.7^{\pm 0.01}$,$0.89^{\pm 0.05}$
GPT-4o,GCLLM,Llama 2 7b $\blacklozenge$ $\bigstar$,$0.72^{\pm 0.0}$,$0.7^{\pm 0.0}$,$0.98^{\pm 0.04}$
GPT-4o,GCLLM,Llama 3 8b,$0.73^{\pm 0.0}$,$0.7^{\pm 0.01}$,$0.8^{\pm 0.04}$
GPT-4o,GCLLM,Llama 3 8b $\blacklozenge$,$0.73^{\pm 0.01}$,$0.7^{\pm 0.01}$,$0.81^{\pm 0.04}$
GPT-4o,GCLLM,Llama 3 8b $\bigstar$,$0.7^{\pm 0.02}$,$0.71^{\pm 0.0}$,$0.84^{\pm 0.03}$
GPT-4o,GCLLM,Llama 3 8b $\blacklozenge$ $\bigstar$,$0.71^{\pm 0.01}$,$0.7^{\pm 0.0}$,$0.92^{\pm 0.07}$
GPT-4o,GCLLM,Mistral 7b,$0.72^{\pm 0.0}$,$0.71^{\pm 0.01}$,$0.8^{\pm 0.04}$
GPT-4o,GCLLM,Mistral 7b $\bigstar$,$0.71^{\pm 0.01}$,$0.7^{\pm 0.0}$,$0.98^{\pm 0.04}$
