LogicNLI,LogicNLI,LogicNLI,LogicNLI,LogicNLI,LogicNLI,LogicNLI
Sketcher,Strategy,Refiner,"Weighted F1
(all samples)","Weighted F1
(all samples, with backup)","Weighted F1
(executable samples)","Executable
Samples (\%)"
GPT-3.5-Turbo,CoT,GPT-3.5-Turbo,$0.36^{\pm 0.0}$,,$nan^{\pm nan}$,
GPT-3.5-Turbo,GCLLM,GPT-3.5-Turbo,$0.21^{\pm 0.0}$,$0.25^{\pm 0.01}$,$0.22^{\pm 0.0}$,$89.62^{\pm0}\%$
GPT-3.5-Turbo,LogicLM,GPT-3.5-Turbo,$0.0^{\pm nan}$,$0.36^{\pm nan}$,$0.33^{\pm nan}$,$0.4^{\pm}\%$
GPT-3.5-Turbo,GCLLM,Llama 2 13b,$0.21^{\pm 0.0}$,$0.26^{\pm 0.01}$,$0.23^{\pm 0.0}$,$84.89^{\pm0}\%$
GPT-3.5-Turbo,GCLLM,Llama 2 13b $\blacklozenge$,$0.22^{\pm 0.0}$,$0.26^{\pm 0.01}$,$0.23^{\pm 0.01}$,$88.42^{\pm0}\%$
GPT-3.5-Turbo,GCLLM,Llama 2 13b $\bigstar$,$0.22^{\pm 0.0}$,$0.24^{\pm 0.0}$,$0.22^{\pm 0.0}$,$92.73^{\pm0}\%$
GPT-3.5-Turbo,GCLLM,Llama 2 13b $\blacklozenge$ $\bigstar$,$0.22^{\pm 0.0}$,$0.24^{\pm 0.0}$,$0.22^{\pm 0.0}$,$92.67^{\pm0}\%$
GPT-3.5-Turbo,GCLLM,Llama 2 7b,$0.21^{\pm 0.0}$,$0.26^{\pm 0.01}$,$0.23^{\pm 0.0}$,$84.89^{\pm0}\%$
GPT-3.5-Turbo,GCLLM,Llama 2 7b $\blacklozenge$,$0.22^{\pm 0.0}$,$0.26^{\pm 0.01}$,$0.23^{\pm 0.0}$,$88.89^{\pm0}\%$
GPT-3.5-Turbo,GCLLM,Llama 2 7b $\bigstar$,$0.21^{\pm 0.0}$,$0.24^{\pm 0.0}$,$0.22^{\pm 0.0}$,$92.71000000000001^{\pm0}\%$
GPT-3.5-Turbo,GCLLM,Llama 2 7b $\blacklozenge$ $\bigstar$,$0.22^{\pm 0.0}$,$0.24^{\pm 0.0}$,$0.22^{\pm 0.0}$,$92.69^{\pm0}\%$
GPT-3.5-Turbo,GCLLM,Llama 3 8b,$0.21^{\pm 0.0}$,$0.26^{\pm 0.01}$,$0.23^{\pm 0.0}$,$84.96000000000001^{\pm0}\%$
GPT-3.5-Turbo,GCLLM,Llama 3 8b $\blacklozenge$,$0.22^{\pm 0.0}$,$0.26^{\pm 0.01}$,$0.23^{\pm 0.0}$,$88.53^{\pm0}\%$
GPT-3.5-Turbo,GCLLM,Llama 3 8b $\bigstar$,$0.22^{\pm 0.0}$,$0.24^{\pm 0.0}$,$0.22^{\pm 0.0}$,$92.78^{\pm0}\%$
GPT-3.5-Turbo,GCLLM,Llama 3 8b $\blacklozenge$ $\bigstar$,$0.22^{\pm 0.0}$,$0.24^{\pm 0.0}$,$0.22^{\pm 0.0}$,$92.75999999999999^{\pm0}\%$
GPT-3.5-Turbo,GCLLM,Mistral 7b $\bigstar$,$0.22^{\pm 0.0}$,$0.25^{\pm 0.01}$,$0.23^{\pm 0.0}$,$92.69^{\pm0}\%$
GPT-4o,CoT,GPT-4o,$0.73^{\pm 0.0}$,,$nan^{\pm nan}$,
GPT-4o,GCLLM,GPT-4o,$0.46^{\pm 0.0}$,$0.5^{\pm 0.0}$,$0.48^{\pm 0.0}$,$92.46^{\pm0}\%$
GPT-4o,GCLLM,Llama 2 13b,$0.46^{\pm 0.0}$,$0.5^{\pm 0.0}$,$0.48^{\pm 0.0}$,$92.46^{\pm0}\%$
