FOLIO,FOLIO,FOLIO,FOLIO,FOLIO,FOLIO
Sketcher,Strategy,Refiner,"Weighted F1
(executable samples)","Weighted F1 of backup
(executable samples)","Weighted F1 of backup
(non-executable samples)"
GPT-3.5-Turbo,CoT,GPT-3.5-Turbo,$nan^{\pm nan}$,$nan^{\pm nan}$,$nan^{\pm nan}$
GPT-3.5-Turbo,GCLLM,GPT-3.5-Turbo,$0.22^{\pm 0.0}$,$0.36^{\pm 0.0}$,$0.33^{\pm 0.04}$
GPT-3.5-Turbo,LogicLM,GPT-3.5-Turbo,$0.33^{\pm nan}$,$0.17^{\pm nan}$,$0.36^{\pm nan}$
GPT-3.5-Turbo,GCLLM,Llama 2 13b,$0.23^{\pm 0.0}$,$0.37^{\pm 0.0}$,$0.32^{\pm 0.02}$
GPT-3.5-Turbo,GCLLM,Llama 2 13b $\blacklozenge$,$0.23^{\pm 0.01}$,$0.36^{\pm 0.0}$,$0.33^{\pm 0.01}$
GPT-3.5-Turbo,GCLLM,Llama 2 13b $\bigstar$,$0.22^{\pm 0.0}$,$0.36^{\pm 0.0}$,$0.32^{\pm 0.02}$
GPT-3.5-Turbo,GCLLM,Llama 2 13b $\blacklozenge$ $\bigstar$,$0.22^{\pm 0.0}$,$0.36^{\pm 0.0}$,$0.33^{\pm 0.02}$
GPT-3.5-Turbo,GCLLM,Llama 2 7b,$0.23^{\pm 0.0}$,$0.36^{\pm 0.0}$,$0.32^{\pm 0.02}$
GPT-3.5-Turbo,GCLLM,Llama 2 7b $\blacklozenge$,$0.23^{\pm 0.0}$,$0.36^{\pm 0.0}$,$0.33^{\pm 0.02}$
GPT-3.5-Turbo,GCLLM,Llama 2 7b $\bigstar$,$0.22^{\pm 0.0}$,$0.36^{\pm 0.0}$,$0.33^{\pm 0.03}$
GPT-3.5-Turbo,GCLLM,Llama 2 7b $\blacklozenge$ $\bigstar$,$0.22^{\pm 0.0}$,$0.36^{\pm 0.0}$,$0.33^{\pm 0.03}$
GPT-3.5-Turbo,GCLLM,Llama 3 8b,$0.23^{\pm 0.0}$,$0.36^{\pm 0.0}$,$0.32^{\pm 0.02}$
GPT-3.5-Turbo,GCLLM,Llama 3 8b $\blacklozenge$,$0.23^{\pm 0.0}$,$0.36^{\pm 0.0}$,$0.33^{\pm 0.01}$
GPT-3.5-Turbo,GCLLM,Llama 3 8b $\bigstar$,$0.22^{\pm 0.0}$,$0.36^{\pm 0.0}$,$0.33^{\pm 0.01}$
GPT-3.5-Turbo,GCLLM,Llama 3 8b $\blacklozenge$ $\bigstar$,$0.22^{\pm 0.0}$,$0.36^{\pm 0.0}$,$0.34^{\pm 0.02}$
GPT-3.5-Turbo,GCLLM,Mistral 7b $\bigstar$,$0.23^{\pm 0.0}$,$0.36^{\pm 0.0}$,$0.34^{\pm 0.03}$
GPT-4o,CoT,GPT-4o,$nan^{\pm nan}$,$nan^{\pm nan}$,$nan^{\pm nan}$
GPT-4o,GCLLM,GPT-4o,$0.48^{\pm 0.0}$,$0.73^{\pm 0.0}$,$0.72^{\pm 0.0}$
GPT-4o,GCLLM,Llama 2 13b,$0.48^{\pm 0.0}$,$0.73^{\pm 0.0}$,$0.72^{\pm 0.0}$
GPT-4o,GCLLM,Llama 2 13b $\blacklozenge$,$0.48^{\pm 0.0}$,$0.73^{\pm 0.0}$,$0.73^{\pm 0.01}$
GPT-4o,GCLLM,Llama 2 13b $\bigstar$,$0.47^{\pm 0.0}$,$0.73^{\pm 0.0}$,$0.74^{\pm 0.0}$
GPT-4o,GCLLM,Llama 2 13b $\blacklozenge$ $\bigstar$,$0.47^{\pm 0.0}$,$0.73^{\pm 0.0}$,$0.74^{\pm 0.0}$
GPT-4o,GCLLM,Llama 2 7b,$0.48^{\pm 0.0}$,$0.73^{\pm 0.0}$,$0.72^{\pm 0.0}$
GPT-4o,GCLLM,Llama 2 7b $\blacklozenge$,$0.48^{\pm 0.0}$,$0.73^{\pm 0.0}$,$0.72^{\pm 0.02}$
GPT-4o,GCLLM,Llama 2 7b $\bigstar$,$0.47^{\pm 0.0}$,$0.73^{\pm 0.0}$,$0.74^{\pm 0.0}$
GPT-4o,GCLLM,Llama 2 7b $\blacklozenge$ $\bigstar$,$0.47^{\pm 0.0}$,$0.73^{\pm 0.0}$,$0.74^{\pm 0.0}$
GPT-4o,GCLLM,Llama 3 8b,$0.48^{\pm 0.0}$,$0.73^{\pm 0.0}$,$0.72^{\pm 0.0}$
GPT-4o,GCLLM,Llama 3 8b $\blacklozenge$,$0.48^{\pm 0.0}$,$0.73^{\pm 0.0}$,$0.73^{\pm 0.01}$
GPT-4o,GCLLM,Llama 3 8b $\bigstar$,$0.47^{\pm 0.0}$,$0.73^{\pm 0.0}$,$0.74^{\pm 0.0}$
GPT-4o,GCLLM,Llama 3 8b $\blacklozenge$ $\bigstar$,$0.47^{\pm 0.0}$,$0.73^{\pm 0.0}$,$0.74^{\pm 0.0}$
GPT-4o,GCLLM,Mistral 7b $\bigstar$,$0.47^{\pm 0.0}$,$0.73^{\pm 0.0}$,$0.74^{\pm 0.0}$
