Dataset,Model,Size,Shots,Category,Accuracy,Accuracy_improvement,Coverage,Coverage_improvement
FOLIO,gemma2,2.0,0-shots,UNCONSTRAINED,2.45,20.59,10.29,59.8
FOLIO,gemma2,2.0,0-shots,FOL,23.04,20.59,70.1,59.8
FOLIO,gemma2,2.0,2-shots,UNCONSTRAINED,6.37,5.88,12.75,19.61
FOLIO,gemma2,2.0,2-shots,FOL,12.25,5.88,32.35,19.61
FOLIO,gemma2,2.0,5-shots,UNCONSTRAINED,3.92,21.08,10.78,53.92
FOLIO,gemma2,2.0,5-shots,FOL,25.0,21.08,64.71,53.92
FOLIO,gemma2,9.0,0-shots,UNCONSTRAINED,21.57,26.47,39.22,50.98
FOLIO,gemma2,9.0,0-shots,FOL,48.04,26.47,90.2,50.98
FOLIO,gemma2,9.0,2-shots,UNCONSTRAINED,40.69,5.39,56.86,20.1
FOLIO,gemma2,9.0,2-shots,FOL,46.08,5.39,76.96,20.1
FOLIO,gemma2,9.0,5-shots,UNCONSTRAINED,49.02,0.98,72.55,10.29
FOLIO,gemma2,9.0,5-shots,FOL,50.0,0.98,82.84,10.29
FOLIO,gemma2,27.0,0-shots,UNCONSTRAINED,39.22,9.31,66.67,26.47
FOLIO,gemma2,27.0,0-shots,FOL,48.53,9.31,93.14,26.47
FOLIO,gemma2,27.0,2-shots,UNCONSTRAINED,50.98,3.43,74.02,16.67
FOLIO,gemma2,27.0,2-shots,FOL,54.41,3.43,90.69,16.67
FOLIO,gemma2,27.0,5-shots,UNCONSTRAINED,47.55,5.39,77.94,10.29
FOLIO,gemma2,27.0,5-shots,FOL,52.94,5.39,88.24,10.29
FOLIO,llama3.1,8.0,0-shots,UNCONSTRAINED,5.39,22.06,7.35,68.63
FOLIO,llama3.1,8.0,0-shots,FOL,27.45,22.06,75.98,68.63
FOLIO,llama3.1,8.0,2-shots,UNCONSTRAINED,15.2,10.78,33.82,39.22
FOLIO,llama3.1,8.0,2-shots,FOL,25.98,10.78,73.04,39.22
FOLIO,llama3.1,8.0,5-shots,UNCONSTRAINED,22.55,6.86,39.71,36.27
FOLIO,llama3.1,8.0,5-shots,FOL,29.41,6.86,75.98,36.27
FOLIO,llama3.2,1.0,0-shots,UNCONSTRAINED,0.0,20.1,0.0,58.33
FOLIO,llama3.2,1.0,0-shots,FOL,20.1,20.1,58.33,58.33
FOLIO,llama3.2,1.0,2-shots,UNCONSTRAINED,0.0,10.29,0.0,37.75
FOLIO,llama3.2,1.0,2-shots,FOL,10.29,10.29,37.75,37.75
FOLIO,llama3.2,1.0,5-shots,UNCONSTRAINED,0.98,19.61,1.47,60.78
FOLIO,llama3.2,1.0,5-shots,FOL,20.59,19.61,62.25,60.78
FOLIO,llama3.2,3.0,0-shots,UNCONSTRAINED,0.0,24.02,0.0,73.04
FOLIO,llama3.2,3.0,0-shots,FOL,24.02,24.02,73.04,73.04
FOLIO,llama3.2,3.0,2-shots,UNCONSTRAINED,6.86,14.71,16.67,39.71
FOLIO,llama3.2,3.0,2-shots,FOL,21.57,14.71,56.37,39.71
FOLIO,llama3.2,3.0,5-shots,UNCONSTRAINED,10.29,12.75,24.02,39.71
FOLIO,llama3.2,3.0,5-shots,FOL,23.04,12.75,63.73,39.71
FOLIO,ministral,3.0,0-shots,UNCONSTRAINED,0.0,4.41,0.0,7.84
FOLIO,ministral,3.0,0-shots,FOL,4.41,4.41,7.84,7.84
FOLIO,ministral,3.0,2-shots,UNCONSTRAINED,0.0,10.29,0.0,36.27
FOLIO,ministral,3.0,2-shots,FOL,10.29,10.29,36.27,36.27
FOLIO,ministral,3.0,5-shots,UNCONSTRAINED,0.0,18.63,0.0,46.57
FOLIO,ministral,3.0,5-shots,FOL,18.63,18.63,46.57,46.57
FOLIO,ministral,8.0,0-shots,UNCONSTRAINED,5.39,21.08,11.76,71.57
FOLIO,ministral,8.0,0-shots,FOL,26.47,21.08,83.33,71.57
FOLIO,ministral,8.0,2-shots,UNCONSTRAINED,9.31,17.65,29.41,45.59
FOLIO,ministral,8.0,2-shots,FOL,26.96,17.65,75.0,45.59
FOLIO,ministral,8.0,5-shots,UNCONSTRAINED,11.76,15.69,33.82,41.67
FOLIO,ministral,8.0,5-shots,FOL,27.45,15.69,75.49,41.67
FOLIO,mistral,22.0,0-shots,UNCONSTRAINED,19.12,22.06,35.78,49.02
FOLIO,mistral,22.0,0-shots,FOL,41.18,22.06,84.8,49.02
FOLIO,mistral,22.0,2-shots,UNCONSTRAINED,36.27,9.8,68.14,17.65
FOLIO,mistral,22.0,2-shots,FOL,46.08,9.8,85.78,17.65
FOLIO,mistral,22.0,5-shots,UNCONSTRAINED,36.76,7.84,69.12,14.22
FOLIO,mistral,22.0,5-shots,FOL,44.61,7.84,83.33,14.22
FOLIO,qwen2.5,0.5,0-shots,UNCONSTRAINED,0.0,12.25,0.0,34.8
FOLIO,qwen2.5,0.5,0-shots,FOL,12.25,12.25,34.8,34.8
FOLIO,qwen2.5,0.5,2-shots,UNCONSTRAINED,2.45,15.2,6.86,47.06
FOLIO,qwen2.5,0.5,2-shots,FOL,17.65,15.2,53.92,47.06
FOLIO,qwen2.5,0.5,5-shots,UNCONSTRAINED,4.9,16.67,14.22,50.98
FOLIO,qwen2.5,0.5,5-shots,FOL,21.57,16.67,65.2,50.98
FOLIO,qwen2.5,1.5,0-shots,UNCONSTRAINED,0.49,19.61,0.98,54.9
FOLIO,qwen2.5,1.5,0-shots,FOL,20.1,19.61,55.88,54.9
FOLIO,qwen2.5,1.5,2-shots,UNCONSTRAINED,3.92,17.16,11.76,41.18
FOLIO,qwen2.5,1.5,2-shots,FOL,21.08,17.16,52.94,41.18
FOLIO,qwen2.5,1.5,5-shots,UNCONSTRAINED,6.86,15.69,16.67,39.22
FOLIO,qwen2.5,1.5,5-shots,FOL,22.55,15.69,55.88,39.22
FOLIO,qwen2.5,3.0,0-shots,UNCONSTRAINED,1.47,26.47,3.43,72.06
FOLIO,qwen2.5,3.0,0-shots,FOL,27.94,26.47,75.49,72.06
FOLIO,qwen2.5,3.0,2-shots,UNCONSTRAINED,12.75,9.8,26.47,26.47
FOLIO,qwen2.5,3.0,2-shots,FOL,22.55,9.8,52.94,26.47
FOLIO,qwen2.5,3.0,5-shots,UNCONSTRAINED,16.67,8.33,34.31,26.96
FOLIO,qwen2.5,3.0,5-shots,FOL,25.0,8.33,61.27,26.96
FOLIO,qwen2.5,7.0,0-shots,UNCONSTRAINED,21.08,12.25,33.82,37.75
FOLIO,qwen2.5,7.0,0-shots,FOL,33.33,12.25,71.57,37.75
FOLIO,qwen2.5,7.0,2-shots,UNCONSTRAINED,31.86,-2.94,60.78,0.98
FOLIO,qwen2.5,7.0,2-shots,FOL,28.92,-2.94,61.76,0.98
FOLIO,qwen2.5,7.0,5-shots,UNCONSTRAINED,38.73,-3.43,63.73,8.33
FOLIO,qwen2.5,7.0,5-shots,FOL,35.29,-3.43,72.06,8.33
FOLIO,qwen2.5,14.0,0-shots,UNCONSTRAINED,17.16,8.82,24.02,45.1
FOLIO,qwen2.5,14.0,0-shots,FOL,25.98,8.82,69.12,45.1
FOLIO,qwen2.5,14.0,2-shots,UNCONSTRAINED,30.39,2.45,58.82,18.63
FOLIO,qwen2.5,14.0,2-shots,FOL,32.84,2.45,77.45,18.63
FOLIO,qwen2.5,14.0,5-shots,UNCONSTRAINED,34.31,-7.84,65.2,-1.96
FOLIO,qwen2.5,14.0,5-shots,FOL,26.47,-7.84,63.24,-1.96
FOLIO,qwen2.5,32.0,0-shots,UNCONSTRAINED,19.12,14.71,38.24,25.98
FOLIO,qwen2.5,32.0,0-shots,FOL,33.82,14.71,64.22,25.98
FOLIO,qwen2.5,32.0,2-shots,UNCONSTRAINED,5.88,43.14,8.33,77.94
FOLIO,qwen2.5,32.0,2-shots,FOL,49.02,43.14,86.27,77.94
FOLIO,qwen2.5,32.0,5-shots,UNCONSTRAINED,2.45,52.94,3.43,84.31
FOLIO,qwen2.5,32.0,5-shots,FOL,55.39,52.94,87.75,84.31
GSM8K_symbolic,gemma2,2.0,0-shots,UNCONSTRAINED,0.0,14.7,0.0,99.3
GSM8K_symbolic,gemma2,2.0,0-shots,FOL,14.7,14.7,99.3,99.3
GSM8K_symbolic,gemma2,2.0,2-shots,UNCONSTRAINED,17.3,2.5,75.6,24.4
GSM8K_symbolic,gemma2,2.0,2-shots,FOL,19.8,2.5,100.0,24.4
GSM8K_symbolic,gemma2,2.0,5-shots,UNCONSTRAINED,-100.0,0.0,-100.0,0.0
GSM8K_symbolic,gemma2,2.0,5-shots,FOL,-100.0,0.0,-100.0,0.0
GSM8K_symbolic,gemma2,9.0,0-shots,UNCONSTRAINED,16.6,8.4,40.8,58.6
GSM8K_symbolic,gemma2,9.0,0-shots,FOL,25.0,8.4,99.4,58.6
GSM8K_symbolic,gemma2,9.0,2-shots,UNCONSTRAINED,44.1,-5.1,93.0,6.1
GSM8K_symbolic,gemma2,9.0,2-shots,FOL,39.0,-5.1,99.1,6.1
GSM8K_symbolic,gemma2,9.0,5-shots,UNCONSTRAINED,-100.0,0.0,-100.0,0.0
GSM8K_symbolic,gemma2,9.0,5-shots,FOL,-100.0,0.0,-100.0,0.0
GSM8K_symbolic,gemma2,27.0,0-shots,UNCONSTRAINED,30.3,-0.6,63.3,36.1
GSM8K_symbolic,gemma2,27.0,0-shots,FOL,29.7,-0.6,99.4,36.1
GSM8K_symbolic,gemma2,27.0,2-shots,UNCONSTRAINED,0.0,0.0,0.0,0.0
GSM8K_symbolic,gemma2,27.0,2-shots,FOL,0.0,0.0,0.0,0.0
GSM8K_symbolic,gemma2,27.0,5-shots,UNCONSTRAINED,-100.0,0.0,-100.0,0.0
GSM8K_symbolic,gemma2,27.0,5-shots,FOL,-100.0,0.0,-100.0,0.0
GSM8K_symbolic,llama3.1,8.0,0-shots,UNCONSTRAINED,0.0,26.0,0.0,99.5
GSM8K_symbolic,llama3.1,8.0,0-shots,FOL,26.0,26.0,99.5,99.5
GSM8K_symbolic,llama3.1,8.0,2-shots,UNCONSTRAINED,28.5,9.0,70.4,29.4
GSM8K_symbolic,llama3.1,8.0,2-shots,FOL,37.5,9.0,99.8,29.4
GSM8K_symbolic,llama3.1,8.0,5-shots,UNCONSTRAINED,32.0,-1.8,84.0,14.7
GSM8K_symbolic,llama3.1,8.0,5-shots,FOL,30.2,-1.8,98.7,14.7
GSM8K_symbolic,llama3.2,1.0,0-shots,UNCONSTRAINED,0.0,1.9,0.0,97.9
GSM8K_symbolic,llama3.2,1.0,0-shots,FOL,1.9,1.9,97.9,97.9
GSM8K_symbolic,llama3.2,1.0,2-shots,UNCONSTRAINED,1.4,0.6,25.9,71.3
GSM8K_symbolic,llama3.2,1.0,2-shots,FOL,2.0,0.6,97.2,71.3
GSM8K_symbolic,llama3.2,1.0,5-shots,UNCONSTRAINED,0.6,2.0,20.7,78.7
GSM8K_symbolic,llama3.2,1.0,5-shots,FOL,2.6,2.0,99.4,78.7
GSM8K_symbolic,llama3.2,3.0,0-shots,UNCONSTRAINED,0.0,11.1,0.0,98.9
GSM8K_symbolic,llama3.2,3.0,0-shots,FOL,11.1,11.1,98.9,98.9
GSM8K_symbolic,llama3.2,3.0,2-shots,UNCONSTRAINED,13.3,4.9,70.7,28.5
GSM8K_symbolic,llama3.2,3.0,2-shots,FOL,18.2,4.9,99.2,28.5
GSM8K_symbolic,llama3.2,3.0,5-shots,UNCONSTRAINED,-100.0,0.0,-100.0,0.0
GSM8K_symbolic,llama3.2,3.0,5-shots,FOL,-100.0,0.0,-100.0,0.0
GSM8K_symbolic,ministral,3.0,0-shots,UNCONSTRAINED,0.0,0.0,0.0,18.8
GSM8K_symbolic,ministral,3.0,0-shots,FOL,0.0,0.0,18.8,18.8
GSM8K_symbolic,ministral,3.0,2-shots,UNCONSTRAINED,0.0,0.0,0.0,24.1
GSM8K_symbolic,ministral,3.0,2-shots,FOL,0.0,0.0,24.1,24.1
GSM8K_symbolic,ministral,3.0,5-shots,UNCONSTRAINED,-100.0,0.0,-100.0,0.0
GSM8K_symbolic,ministral,3.0,5-shots,FOL,-100.0,0.0,-100.0,0.0
GSM8K_symbolic,ministral,8.0,0-shots,UNCONSTRAINED,0.5,10.3,1.9,97.1
GSM8K_symbolic,ministral,8.0,0-shots,FOL,10.8,10.3,99.0,97.1
GSM8K_symbolic,ministral,8.0,2-shots,UNCONSTRAINED,-100.0,0.0,-100.0,0.0
